label,id,confusable_char,confusable_unicode
e:,\u0065\u003a,"e：,e꞉,e˸","\u0065\uff1a,\u0065\ua789,\u0065\u02f8"
é:y,\u00e9\u003a\u0079,é:y,\u0065\u0301\u003a\u0079
e',\u0065\u0027,"e＇,e’,e̓,e̕,e̒,e̔,eʼ,eˈ,e՚","\u0065\uff07,\u0065\u2019,\u0065\u0313,\u0065\u0315,\u0065\u0312,\u0065\u0314,\u0065\u02bc,\u0065\u02c8,\u0065\u055a"
e’,\u0065\u2019,"e＇,e',e̓,e̕,e̒,e̔,eʼ,eˈ,e՚","\u0065\uff07,\u0065\u0027,\u0065\u0313,\u0065\u0315,\u0065\u0312,\u0065\u0314,\u0065\u02bc,\u0065\u02c8,\u0065\u055a"
eˈe,\u0065\u02c8\u0065,"e̕e,eʼe,e’e,e՚e","\u0065\u0315\u0065,\u0065\u02bc\u0065,\u0065\u2019\u0065,\u0065\u055a\u0065"
ea,\u0065\u0061,,
ęą,\u0119\u0105,ęą,\u0065\u0328\u0061\u0328
ee,\u0065\u0065,,
ée,\u00e9\u0065,ée,\u0065\u0301\u0065
ēe,\u0113\u0065,"ēe,e̅e","\u0065\u0304\u0065,\u0065\u0305\u0065"
eii,\u0065\u0069\u0069,,
ew,\u0065\u0077,,
ew̓,\u0065\u0077\u0313,"ewˈ,ew̕,ew̒,ew̔,ewʼ,ew’,ew՚","\u0065\u0077\u02c8,\u0065\u0077\u0315,\u0065\u0077\u0312,\u0065\u0077\u0314,\u0065\u0077\u02bc,\u0065\u0077\u2019,\u0065\u0077\u055a"
ey,\u0065\u0079,,
ey̓,\u0065\u0079\u0313,"ey̕,eyˈ,ey̒,ey̔,eyʼ,ey’,ey՚","\u0065\u0079\u0315,\u0065\u0079\u02c8,\u0065\u0079\u0312,\u0065\u0079\u0314,\u0065\u0079\u02bc,\u0065\u0079\u2019,\u0065\u0079\u055a"
ǝ,\u01dd,,
ǝ́,\u01dd\u0301,,
ə,\u0259,ǝ,\u01dd
ə́,\u0259\u0301,ǝ́,\u01dd\u0301
ə̣,\u0259\u0323,ǝ̣,\u01dd\u0323
əl,\u0259\u006c,ǝl,\u01dd\u006c
əm,\u0259\u006d,ǝm,\u01dd\u006d
ən,\u0259\u006e,ǝn,\u01dd\u006e
əw,\u0259\u0077,ǝw,\u01dd\u0077
əw̓,\u0259\u0077\u0313,"əwˈ,əw̕,əw̒,əw̔,əwʼ,əw’,əw՚,ǝw̓,ǝwˈ,ǝw̕,ǝw̒,ǝw̔,ǝwʼ,ǝw’,ǝw՚","\u0259\u0077\u02c8,\u0259\u0077\u0315,\u0259\u0077\u0312,\u0259\u0077\u0314,\u0259\u0077\u02bc,\u0259\u0077\u2019,\u0259\u0077\u055a,\u01dd\u0077\u0313,\u01dd\u0077\u02c8,\u01dd\u0077\u0315,\u01dd\u0077\u0312,\u01dd\u0077\u0314,\u01dd\u0077\u02bc,\u01dd\u0077\u2019,\u01dd\u0077\u055a"
əy,\u0259\u0079,ǝy,\u01dd\u0079
əy̓,\u0259\u0079\u0313,"əyˈ,əy̕,əy̒,əy̔,əyʼ,əy’,əy՚,ǝy̓,ǝyˈ,ǝy̕,ǝy̒,ǝy̔,ǝyʼ,ǝy’,ǝy՚","\u0259\u0079\u02c8,\u0259\u0079\u0315,\u0259\u0079\u0312,\u0259\u0079\u0314,\u0259\u0079\u02bc,\u0259\u0079\u2019,\u0259\u0079\u055a,\u01dd\u0079\u0313,\u01dd\u0079\u02c8,\u01dd\u0079\u0315,\u01dd\u0079\u0312,\u01dd\u0079\u0314,\u01dd\u0079\u02bc,\u01dd\u0079\u2019,\u01dd\u0079\u055a"
ɛ,\u025b,,
ɛ̄ɛ,\u025b\u0304\u025b,"ɛ̅ɛ,ɛ︤ɛ,ɛ︥ɛ,ɛ¯ɛ,ɛ‾ɛ","\u025b\u0305\u025b,\u025b\ufe24\u025b,\u025b\ufe25\u025b,\u025b\u00af\u025b,\u025b\u203e\u025b"
f,\u0066,,
g,\u0067,,
g̓,\u0067\u0313,"gˈ,g’,g՚,gʼ,g̒,g̔,g̕","\u0067\u02c8,\u0067\u2019,\u0067\u055a,\u0067\u02bc,\u0067\u0312,\u0067\u0314,\u0067\u0315"
ĝ,\u011d,ĝ,\u0067\u0302
ǧ,\u01e7,"ǧ,ğ","\u0067\u030c,\u011f"
ḡ,\u1e21,"ḡ,g̅,g︤,g︥,g¯,g‾","\u0067\u0304,\u0067\u0305,\u0067\ufe24,\u0067\ufe25,\u0067\u00af,\u0067\u203e"
g̱,\u0067\u0331,"g_,g̠,g̲","\u0067\u005f,\u0067\u0320,\u0067\u0332"
g°,\u0067\u00b0,,
ḡ°,\u1e21\u00b0,,
gg,\u0067\u0067,,
ggw,\u0067\u0067\u0077,,
gh,\u0067\u0068,,
ghw,\u0067\u0068\u0077,,
gv,\u0067\u0076,,
ǧv,\u01e7\u0076,"ǧv,ğv","\u0067\u030c\u0076,\u011f\u0076"
gw,\u0067\u0077,,
gʷ,\u0067\u02b7,,
g̓w,\u0067\u0313\u0077,"g’w,gʼw,g՚w,gˈw,g̕w,g̔w,g̒w","\u0067\u2019\u0077,\u0067\u02bc\u0077,\u0067\u055a\u0077,\u0067\u02c8\u0077,\u0067\u0315\u0077,\u0067\u0314\u0077,\u0067\u0312\u0077"
ǧʷ,\u01e7\u02b7,"ǧʷ,ğʷ","\u0067\u030c\u02b7,\u011f\u02b7"
g̱w,\u0067\u0331\u0077,"g̲w,g̠w,g_w","\u0067\u0332\u0077,\u0067\u0320\u0077,\u0067\u005f\u0077"
gʸ,\u0067\u02b8,,
gy,\u0067\u0079,,
ǥ,\u01e5,,
ǥw,\u01e5\u0077,,
ɣ,\u0263,ɤ,\u0264
ɣ̓,\u0263\u0313,"ɤˈ,ɤ̕,ɤ̒,ɤ̔,ɤʼ,ɤ’,ɤ՚,ɣˈ,ɣ̕,ɣ̒,ɣ̔,ɣʼ,ɣ’,ɣ՚,ɤ̓","\u0264\u02c8,\u0264\u0315,\u0264\u0312,\u0264\u0314,\u0264\u02bc,\u0264\u2019,\u0264\u055a,\u0263\u02c8,\u0263\u0315,\u0263\u0312,\u0263\u0314,\u0263\u02bc,\u0263\u2019,\u0263\u055a,\u0264\u0313"
ɣʼ,\u0263\u02bc,"ɤˈ,ɤ̕,ɤ̒,ɤ̔,ɤ’,ɤ՚,Ɣˈ,Ɣ̕,Ɣ̒,Ɣ̔,Ɣ’,Ɣ՚,ɣˈ,ɣ̕,ɣ̒,ɣ̔,ɣ’,ɣ՚,Ɣ̓,ɤ̓","\u0264\u02c8,\u0264\u0315,\u0264\u0312,\u0264\u0314,\u0264\u2019,\u0264\u055a,\u0194\u02c8,\u0194\u0315,\u0194\u0312,\u0194\u0314,\u0194\u2019,\u0194\u055a,\u0263\u02c8,\u0263\u0315,\u0263\u0312,\u0263\u0314,\u0263\u2019,\u0263\u055a,\u0194\u0313,\u0264\u0313"
h,\u0068,,
H,\u0048,,
h̓,\u0068\u0313,"hˈ,h̕,h̒,h̔,hʼ,h’,h՚","\u0068\u02c8,\u0068\u0315,\u0068\u0312,\u0068\u0314,\u0068\u02bc,\u0068\u2019,\u0068\u055a"
ĥ,\u0125,ĥ,\u0068\u0302
ḥ,\u1e25,ḥ,\u0068\u0323
ḥ,\u0068\u0323,,
ħ,\u0127,,
hl,\u0068\u006c,,
hll,\u0068\u006c\u006c,,
hw,\u0068\u0077,,
i,\u0069,,
I,\u0049,,
i̓,\u0069\u0313,"iˈ,i̕,i̒,i̔,iʼ,i’,i՚","\u0069\u02c8,\u0069\u0315,\u0069\u0312,\u0069\u0314,\u0069\u02bc,\u0069\u2019,\u0069\u055a"
í,\u00ed,í,\u0069\u0301
Í,\u00cd,Í,\u0049\u0301
í,\u0069\u0301,,
ì,\u00ec,ì,\u0069\u0300
Ì,\u00cc,Ì,\u0049\u0300
î,\u00ee,î,\u0069\u0302
ǐ,\u01d0,ǐ,\u0069\u030c
ï,\u00ef,ï,\u0069\u0308
Ĩ,\u0128,"Ĩ,I̴","\u0049\u0303,\u0049\u0334"
į,\u012f,į,\u0069\u0328
Į,\u012e,Į,\u0049\u0328
Į́,\u012e\u0301,Į́,\u0049\u0328\u0301
į́,\u012f\u0301,į́,\u0069\u0328\u0301
į̀,\u012f\u0300,į̀,\u0069\u0328\u0300
į̂,\u012f\u0302,į̂,\u0069\u0328\u0302
į̌,\u012f\u030c,į̌,\u0069\u0328\u030c
į̄,\u012f\u0304,į̄,\u0069\u0328\u0304
į̄́,\u012f\u0304\u0301,į̄́,\u0069\u0328\u0304\u0301
į̄̀,\u012f\u0304\u0300,į̄̀,\u0069\u0328\u0304\u0300
ī,\u012b,"ī,i̅,i︤,i︥,i¯,i‾","\u0069\u0304,\u0069\u0305,\u0069\ufe24,\u0069\ufe25,\u0069\u00af,\u0069\u203e"
ī́,\u012b\u0301,"i̅́,i︥́,i︤́,ī́","\u0069\u0305\u0301,\u0069\ufe25\u0301,\u0069\ufe24\u0301,\u0069\u0304\u0301"
ī̀,\u012b\u0300,"ī̀,i̅̀,i︤̀","\u0069\u0304\u0300,\u0069\u0305\u0300,\u0069\ufe24\u0300"
ị,\u0069\u0323,,
i̱,\u0069\u0331,"i̲,i̠,i_","\u0069\u0332,\u0069\u0320,\u0069\u005f"
i:,\u0069\u003a,"i：,i꞉,i˸","\u0069\uff1a,\u0069\ua789,\u0069\u02f8"
i·,\u0069\u00b7,,
i',\u0069\u0027,"i＇,i’,i̕,iʼ,iˈ,i՚","\u0069\uff07,\u0069\u2019,\u0069\u0315,\u0069\u02bc,\u0069\u02c8,\u0069\u055a"
i’,\u0069\u2019,"i̕,iʼ,iˈ,i՚,i＇,i'","\u0069\u0315,\u0069\u02bc,\u0069\u02c8,\u0069\u055a,\u0069\uff07,\u0069\u0027"
iˈi,\u0069\u02c8\u0069,"i̕i,iʼi,i’i,i՚i","\u0069\u0315\u0069,\u0069\u02bc\u0069,\u0069\u2019\u0069,\u0069\u055a\u0069"
ii,\u0069\u0069,,
íi,\u0069\u0301\u0069,,
íi,\u00ed\u0069,,
ìì,\u00ec\u00ec,,
įį,\u012f\u012f,įį,\u0069\u0328\u0069\u0328
į̀į̀,\u012f\u0300\u012f\u0300,į̀į̀,\u0069\u0328\u0300\u0069\u0328\u0300
īi,\u012b\u0069,"īi,i̅i,i︤i,i︥i","\u0069\u0304\u0069,\u0069\u0305\u0069,\u0069\ufe24\u0069,\u0069\ufe25\u0069"
iw,\u0069\u0077,,
iw̓,\u0069\u0077\u0313,,
iy,\u0069\u0079,,
ı,\u0131,ɩ,\u0269
ı́,\u0131\u0301,ɩ́,\u0269\u0301
ı̨,\u0131\u0328,ɩ̨,\u0269\u0328
ı̨́,\u0131\u0328\u0301,ɩ̨́,\u0269\u0328\u0301
Ɨ,\u0197,"I̸,I̷","\u0049\u0338,\u0049\u0337"
ɨ,\u0268,"i̸,i̷","\u0069\u0338,\u0069\u0337"
ɩ,\u0269,ı,\u0131
j,\u006a,,
J,\u004a,,
ĵ,\u0135,ĵ,\u006a\u0302
ǰ,\u01f0,ǰ,\u006a\u030c
k,\u006b,,
K,\u004b,,
k̓,\u006b\u0313,"k̍,k̒,k̔,k̕","\u006b\u030d,\u006b\u0312,\u006b\u0314,\u006b\u0315"
ḱ,\u1e31,,
Ḱ,\u004b\u0301,Ќ,\u040c
k̕,\u006b\u0315,"k̓,k̍,k̒,k̔,kʼ,k’,k՚","\u006b\u0313,\u006b\u030d,\u006b\u0312,\u006b\u0314,\u006b\u02bc,\u006b\u2019,\u006b\u055a"
ḵ,\u1e35,"k̲,k̠,k_,ḵ","\u006b\u0332,\u006b\u0320,\u006b\u005f,\u006b\u0331"
Ḵ,\u1e34,"K̲,K̠,K_,Ḵ","\u004b\u0332,\u004b\u0320,\u004b\u005f,\u004b\u0331"
ḵ̓,\u1e35\u0313,"k̲̓,k_̓,k̠̓","\u006b\u0332\u0313,\u006b\u005f\u0313,\u006b\u0320\u0313"
ḵ́,\u1e35\u0301,,
ḵ̕,\u1e35\u0315,"k̲̕,k̠̕,k_̕","\u006b\u0332\u0315,\u006b\u0320\u0315,\u006b\u005f\u0315"
K̵,\u004b\u0335,K̶,\u004b\u0336
k',\u006b\u0027,"kʼ,k̒,k̓,k̔,k̕,k＇,kˈ,k’,k՚","\u006b\u02bc,\u006b\u0312,\u006b\u0313,\u006b\u0314,\u006b\u0315,\u006b\uff07,\u006b\u02c8,\u006b\u2019,\u006b\u055a"
ḵ',\u1e35\u0027,"ḵ̕,k_’,k̠ʼ,ḵ’,k_՚,k̲’,k̲՚,ḵʼ,ḵ＇,ḵˈ,ḵʼ,k̠՚,k̠’,k_ʼ,ḵ̓,ḵ̒,ḵ̕,ḵ̔,ḵˈ,ḵ’,k̲ʼ,ḵ՚,ḵ＇,ḵ̔,ḵ̓,ḵ̒","\u1e35\u0315,\u006b\u005f\u2019,\u006b\u0320\u02bc,\u1e35\u2019,\u006b\u005f\u055a,\u006b\u0332\u2019,\u006b\u0332\u055a,\u006b\u0331\u02bc,\u006b\u0331\uff07,\u006b\u0331\u02c8,\u1e35\u02bc,\u006b\u0320\u055a,\u006b\u0320\u2019,\u006b\u005f\u02bc,\u006b\u0331\u0313,\u006b\u0331\u0312,\u006b\u0331\u0315,\u006b\u0331\u0314,\u1e35\u02c8,\u006b\u0331\u2019,\u006b\u0332\u02bc,\u006b\u0331\u055a,\u1e35\uff07,\u1e35\u0314,\u1e35\u0313,\u1e35\u0312"
k'w,\u006b\u0027\u0077,"k＇w,k’w,k̕w,kʼw,kˈw,k՚w","\u006b\uff07\u0077,\u006b\u2019\u0077,\u006b\u0315\u0077,\u006b\u02bc\u0077,\u006b\u02c8\u0077,\u006b\u055a\u0077"
k'y,\u006b\u0027\u0079,"k＇y,k’y,kʼy,kˈy,k՚y","\u006b\uff07\u0079,\u006b\u2019\u0079,\u006b\u02bc\u0079,\u006b\u02c8\u0079,\u006b\u055a\u0079"
k’,\u006b\u2019,"kʼ,k̓,k̕,k',k＇,kˈ,k՚","\u006b\u02bc,\u006b\u0313,\u006b\u0315,\u006b\u0027,\u006b\uff07,\u006b\u02c8,\u006b\u055a"
kˈ,\u006b\u02c8,"kʼ,k̓,k̕,k',k＇,k’,k՚","\u006b\u02bc,\u006b\u0313,\u006b\u0315,\u006b\u0027,\u006b\uff07,\u006b\u2019,\u006b\u055a"
ḵˈ,\u1e35\u02c8,"k̲̓,k̲̕,k̲ʼ,k̲’,k̲՚,k̲＇,k̲' ,k̠̓,k̠̕,k̠ʼ,k̠’,k̠՚,k̠＇,k̠',k_̓,k_̕,k_ʼ,k_’,ḵ̓,ḵ̕,ḵʼ,ḵ’,ḵ՚,ḵ＇,ḵ'","\u006b\u0332\u0313,\u006b\u0332\u0315,\u006b\u0332\u02bc,\u006b\u0332\u2019,\u006b\u0332\u055a,\u006b\u0332\uff07,\u006b\u0332\u0027,\u006b\u0320\u0313,\u006b\u0320\u0315,\u006b\u0320\u02bc,\u006b\u0320\u2019,\u006b\u0320\u055a,\u006b\u0320\uff07,\u006b\u0320\u0027,\u006b\u005f\u0313,\u006b\u005f\u0315,\u006b\u005f\u02bc,\u006b\u005f\u2019,\u006b\u0331\u0313,\u006b\u0331\u0315,\u006b\u0331\u02bc,\u006b\u0331\u2019,\u006b\u0331\u055a,\u006b\u0331\uff07,\u006b\u0331\u0027"
kˈw,\u006b\u02c8\u0077,"k̕w,kʼw,k’w,k՚w","\u006b\u0315\u0077,\u006b\u02bc\u0077,\u006b\u2019\u0077,\u006b\u055a\u0077"
kˈy,\u006b\u02c8\u0079,"k̕y,kʼy,k’y,k՚y","\u006b\u0315\u0079,\u006b\u02bc\u0079,\u006b\u2019\u0079,\u006b\u055a\u0079"
k°,\u006b\u00b0,,
k̓°,\u006b\u0313\u00b0,,
kh,\u006b\u0068,,
khw,\u006b\u0068\u0077,,
kv,\u006b\u0076,,
k̓v,\u006b\u0313\u0076,,
kw,\u006b\u0077,,
kʷ,\u006b\u02b7,,
kw̕,\u006b\u0077\u0315,"kwˈ,kw̓,kw̒,kw̔,kwʼ,kw’,kw՚","\u006b\u0077\u02c8,\u006b\u0077\u0313,\u006b\u0077\u0312,\u006b\u0077\u0314,\u006b\u0077\u02bc,\u006b\u0077\u2019,\u006b\u0077\u055a"
k̓ʷ,\u006b\u0313\u02b7,"k̒ʷ,k̍ʷ,k̕ʷ,k̔ʷ","\u006b\u0312\u02b7,\u006b\u030d\u02b7,\u006b\u0315\u02b7,\u006b\u0314\u02b7"
k̓w,\u006b\u0313\u0077,,
ḱw,\u1e31\u0077,,
k̕ʷ,\u006b\u0315\u02b7,"k̓ʷ,k̍ʷ,k̒ʷ,k̔ʷ,kʼʷ,k’ʷ,k՚ʷ","\u006b\u0313\u02b7,\u006b\u030d\u02b7,\u006b\u0312\u02b7,\u006b\u0314\u02b7,\u006b\u02bc\u02b7,\u006b\u2019\u02b7,\u006b\u055a\u02b7"
k̕w,\u006b\u0315\u0077,,
ḵw,\u1e35\u0077,,
ḵw,\u006b\u0331\u0077,,
ḵw̕,\u1e35\u0077\u0315,"ḵwˈ,ḵw̓,ḵw̒,ḵw̔,ḵwʼ,ḵw’,k̠w̓,k̠w̒,k̠w̔,k̠wʼ,k̠w’,k̠w՚","\u1e35\u0077\u02c8,\u1e35\u0077\u0313,\u1e35\u0077\u0312,\u1e35\u0077\u0314,\u1e35\u0077\u02bc,\u1e35\u0077\u2019,\u006b\u0320\u0077\u0313,\u006b\u0320\u0077\u0312,\u006b\u0320\u0077\u0314,\u006b\u0320\u0077\u02bc,\u006b\u0320\u0077\u2019,\u006b\u0320\u0077\u055a"
ḵ́w,\u1e35\u0301\u0077,,
ḵ̕w,\u1e35\u0315\u0077,"k̲ˈw,k̲̓w,k̲̒w,k̲̔w,k̲ʼw,k̲’w,k̲՚w,k̠ˈw,k̠̓w,k̠̒w,k̠̔w,k̠ʼw,k̠’w,k̠՚w,ḵˈw,ḵ̓w,ḵ̒w,ḵ̔w,ḵʼw,ḵ’w,ḵ՚w","\u006b\u0332\u02c8\u0077,\u006b\u0332\u0313\u0077,\u006b\u0332\u0312\u0077,\u006b\u0332\u0314\u0077,\u006b\u0332\u02bc\u0077,\u006b\u0332\u2019\u0077,\u006b\u0332\u055a\u0077,\u006b\u0320\u02c8\u0077,\u006b\u0320\u0313\u0077,\u006b\u0320\u0312\u0077,\u006b\u0320\u0314\u0077,\u006b\u0320\u02bc\u0077,\u006b\u0320\u2019\u0077,\u006b\u0320\u055a\u0077,\u006b\u0331\u02c8\u0077,\u006b\u0331\u0313\u0077,\u006b\u0331\u0312\u0077,\u006b\u0331\u0314\u0077,\u006b\u0331\u02bc\u0077,\u006b\u0331\u2019\u0077,\u006b\u0331\u055a\u0077"
ḵ̕w,\u006b\u0331\u0315\u0077,"k̲̕w,k̠̕w,k_̕w,ḵ̕w,k̲̕w,k̠̕w,k̕_w,ḵ̓w,k̲̓w,k̠̓w,k_̓w,ḵ̓w,k̲̓w,k̠̓w,k̓_w","\u006b\u0332\u0315\u0077,\u006b\u0320\u0315\u0077,\u006b\u005f\u0315\u0077,\u006b\u0315\u0331\u0077,\u006b\u0315\u0332\u0077,\u006b\u0315\u0320\u0077,\u006b\u0315\u005f\u0077,\u006b\u0331\u0313\u0077,\u006b\u0332\u0313\u0077,\u006b\u0320\u0313\u0077,\u006b\u005f\u0313\u0077,\u006b\u0313\u0331\u0077,\u006b\u0313\u0332\u0077,\u006b\u0313\u0320\u0077,\u006b\u0313\u005f\u0077"
kw',\u006b\u0077\u0027,"kwʼ,kw̓,kw̒,kw̕,kw＇,kw̔,kw’,kwˈ,kw՚","\u006b\u0077\u02bc,\u006b\u0077\u0313,\u006b\u0077\u0312,\u006b\u0077\u0315,\u006b\u0077\uff07,\u006b\u0077\u0314,\u006b\u0077\u2019,\u006b\u0077\u02c8,\u006b\u0077\u055a"
kw’,\u006b\u0077\u2019,"kwʼ,kw̓,kw̒,kw̕,kw＇,kw̔,kw',kwˈ,kw՚","\u006b\u0077\u02bc,\u006b\u0077\u0313,\u006b\u0077\u0312,\u006b\u0077\u0315,\u006b\u0077\uff07,\u006b\u0077\u0314,\u006b\u0077\u0027,\u006b\u0077\u02c8,\u006b\u0077\u055a"
kwˈ,\u006b\u0077\u02c8,"kw＇,kw',kw̓,kw̕,kw̒,kw̔,kwʼ,kw’,kw՚","\u006b\u0077\uff07,\u006b\u0077\u0027,\u006b\u0077\u0313,\u006b\u0077\u0315,\u006b\u0077\u0312,\u006b\u0077\u0314,\u006b\u0077\u02bc,\u006b\u0077\u2019,\u006b\u0077\u055a"
kʸ,\u006b\u02b8,,
ky,\u006b\u0079,,
k̓ʸ,\u006b\u0313\u02b8,"k̒ʸ,k̍ʸ,k̔ʸ,k̕ʸ","\u006b\u0312\u02b8,\u006b\u030d\u02b8,\u006b\u0314\u02b8,\u006b\u0315\u02b8"
kʼ,\u006b\u02bc,"k̓,k̕,k',kˈ,k＇,k’,k՚","\u006b\u0313,\u006b\u0315,\u006b\u0027,\u006b\u02c8,\u006b\uff07,\u006b\u2019,\u006b\u055a"
kʼw,\u006b\u02bc\u0077,"k՚w,k'w,kˈw,k＇w,k’w,k̓w","\u006b\u055a\u0077,\u006b\u0027\u0077,\u006b\u02c8\u0077,\u006b\uff07\u0077,\u006b\u2019\u0077,\u006b\u0313\u0077"
kʼʷ,\u006b\u02bc\u02b7,"k̓ʷ,k’ʷ,kˈʷ,k՚ʷ,k＇ʷ,k'ʷ","\u006b\u0313\u02b7,\u006b\u2019\u02b7,\u006b\u02c8\u02b7,\u006b\u055a\u02b7,\u006b\uff07\u02b7,\u006b\u0027\u02b7"
l,\u006c,,
L,\u004c,,
l̲,\u006c\u0332,"l̠,ḻ","\u006c\u0320,\u006c\u0331"
l̓,\u006c\u0313,"l̍,l̒,l̔,l̕","\u006c\u030d,\u006c\u0312,\u006c\u0314,\u006c\u0315"
ĺ,\u013a,ĺ,\u006c\u0301
l̀,\u006c\u0300,Ì,\u00cc
ľ,\u013e,ľ,\u006c\u030c
l̕,\u006c\u0315,"lʼ,l̔,lˈ,l’,l՚","\u006c\u02bc,\u006c\u0314,\u006c\u02c8,\u006c\u2019,\u006c\u055a"
ḷ,\u006c\u0323,,
ḷ,\u1e37,ḷ,\u006c\u0323
ḷ̓,\u1e37\u0313,"ḷˈ,ḷ̕,ḷ̒,ḷ̔,ḷʼ,ḷ’,ḷ՚,ḷˈ,ḷ̕,ḷ̒,ḷ̔,ḷʼ,ḷ’,ḷ՚","\u1e37\u02c8,\u1e37\u0315,\u1e37\u0312,\u1e37\u0314,\u1e37\u02bc,\u1e37\u2019,\u1e37\u055a,\u006c\u0323\u02c8,\u006c\u0323\u0315,\u006c\u0323\u0312,\u006c\u0323\u0314,\u006c\u0323\u02bc,\u006c\u0323\u2019,\u006c\u0323\u055a"
ḷ́,\u1e37\u0301,ḷ́,\u006c\u0323\u0301
ł,\u0142,"l̸,l̷","\u006c\u0338,\u006c\u0337"
Ł,\u0141,"L̸,L̷","\u004c\u0338,\u004c\u0337"
L̵,\u004c\u0335,L̶,\u004c\u0336
lh,\u006c\u0068,,
ll,\u006c\u006c,,
lly,\u006c\u006c\u0079,,
ly,\u006c\u0079,,
lʼ,\u006c\u02bc,"l̒,l̓,l̔,l̕,lˈ,l’,l՚","\u006c\u0312,\u006c\u0313,\u006c\u0314,\u006c\u0315,\u006c\u02c8,\u006c\u2019,\u006c\u055a"
ɫ,\u026b,,
ɬ,\u026c,l̵,\u006c\u0335
ƛ,\u019b,"λ̸,λ̷","\u03bb\u0338,\u03bb\u0337"
